step,x,y,z
0,6501.50258149,-4199.694137529999,0.19890473570648193
1,6469.72908867689,-4224.1670836969915,-0.21633972439941407
2,6464.035089492387,-4225.119935734209,-0.29131102939887155
3,6458.341090307884,-4226.072787771427,-0.366282334398329
4,6452.647091123383,-4227.025639808646,-0.4412536393977865
5,6446.95309193888,-4227.978491845863,-0.516224944397244
6,6441.259092754377,-4228.93134388308,-0.5911962493967013
7,6435.565093569875,-4229.884195920298,-0.6661675543961588
8,6429.871094385372,-4230.837047957517,-0.7411388593956163
9,6424.177095200869,-4231.789899994735,-0.8161101643950738
10,6418.483096016367,-4232.7427520319525,-0.8910814693945313
11,6418.761861944565,-4233.777278502829,-0.7309112093354168
12,6419.040627872764,-4234.811804973706,-0.5707409492763023
13,6419.319393800964,-4235.8463314445835,-0.41057068921718787
14,6419.598159729161,-4236.880857915459,-0.2504004291580733
15,6419.87692565736,-4237.915384386337,-0.09023016909895881
16,6420.155691585558,-4238.949910857214,0.06994009096015563
17,6420.434457513757,-4239.98443732809,0.23011035101927016
18,6420.713223441955,-4241.018963798967,0.39028061107838463
19,6420.9919893701535,-4242.053490269844,0.5504508711374991
